dt,s34_cal,s34_cal_61,s34_cal_121,s34_cal_301,s34_cal_601
2018-12-31 23:54:33,77.54456806131529,74.78980674556907,77.56303177528399,79.47154112419989,81.65301314477546
2018-12-31 23:54:34,77.49518565054838,74.67978195700553,77.46459819836532,79.45102773374411,81.6484128801848
2018-12-31 23:54:35,77.49518565054838,74.57904712451347,77.36156414011784,79.42850091919681,81.64377987571793
2018-12-31 23:54:36,77.54456806131529,74.48582499551007,77.25384671558639,79.40392736135671,81.63911413137484
2018-12-31 23:54:37,76.97788074095413,74.42047273472116,77.14539593781562,79.37760186335326,81.63353821955295
2018-12-31 23:54:38,75.8445061002318,74.37483250208118,77.04179114339986,79.34751100109493,81.62705214025225
2018-12-31 23:54:39,75.27781877987064,74.3283827217237,76.93891970222342,79.3154720857271,81.61959041372033
2018-12-31 23:54:40,74.08541414236197,74.30083542179766,76.83120227769197,79.28343317035926,81.61212868718842
2018-12-31 23:54:41,73.51872682200081,74.28257807794313,76.7232393511343,79.24756351975451,81.60564260788772
2018-12-31 23:54:42,73.57775681878718,74.2721560058657,76.62036790995784,79.21370729324127,81.59821362123202
2018-12-31 23:54:43,71.87769485770369,74.26173393378826,76.51733385171035,79.17978569574599,81.59066972762729
2018-12-31 23:54:44,71.31100753734253,74.26141136549982,76.41446241053389,79.14596278843402,81.58312583402255
2018-12-31 23:54:45,70.74432021698138,74.27037875328286,76.30690760307345,79.11415330521356,81.57663975472185
2018-12-31 23:54:46,70.74432021698138,74.2793461410659,76.19861944237371,79.08224513180981,81.57015367542115
2018-12-31 23:54:47,70.74432021698138,74.27902357277745,76.09550249917106,79.05215426955147,81.56269194888924
2018-12-31 23:54:48,70.76399688257683,74.28718141284301,75.9973144242786,79.02582877154802,81.55617312971235
2018-12-31 23:54:49,71.33068420293799,74.29598438948547,75.89912634938612,79.00333400878152,81.55056447801427
2018-12-31 23:54:50,71.28130179217109,74.29549741005644,75.8100595050354,78.98272192814247,81.54401291896117
2018-12-31 23:54:51,71.28130179217109,74.29468786233895,75.72551340989762,78.96409121981415,81.53762505928906
2018-12-31 23:54:52,71.83834152651279,74.29468786233895,75.64548806397278,78.94546051148583,81.53218010697195
2018-12-31 23:54:53,72.40502884687396,74.28539790626746,75.56094196883501,78.92861379510165,81.52670241477865
2018-12-31 23:54:54,72.97171616723512,74.26600844640699,75.48576260626518,78.91176707871747,81.52203667043555
2018-12-31 23:54:55,72.44438217806487,74.24661898654652,75.41058324369534,78.89485499135127,81.51737092609248
2018-12-31 23:54:56,72.44438217806487,74.2275520949745,75.3402498644805,78.87794290398504,81.51262301467658
2018-12-31 23:54:57,72.42470551246942,74.19919524733096,75.26539573605274,78.85921350547343,81.50790784313686
2018-12-31 23:54:58,72.42470551246942,74.17051583139899,75.19522497390894,78.84048410696182,81.50327483867
2018-12-31 23:54:59,72.36567551568305,74.14215898375546,75.12941234390705,78.81987202632277,81.49864183420313
2018-12-31 23:55:00,72.36567551568305,74.10451218004044,75.06795784604708,78.79737726355626,81.49407430948865
2018-12-31 23:55:01,72.44438217806487,74.047962895894,75.01151194861315,78.77316387982764,81.48976870378375
2018-12-31 23:55:02,72.44438217806487,74.0010261361075,74.95547417027646,78.74525050282618,81.48543035820268
2018-12-31 23:55:03,72.44438217806487,73.95408937632098,74.90411975822376,78.71717306465938,81.48177300096701
2018-12-31 23:55:04,73.01106949842602,73.89786266046298,74.85325319738416,78.68526489125564,81.47811564373134
2018-12-31 23:55:05,73.57775681878718,73.83364251568,74.79754065318957,78.64965672457906,81.47257247178564
2018-12-31 23:55:06,73.57775681878718,73.76942237089702,74.7456155049686,78.61028319364758,81.46605365260875
2018-12-31 23:55:07,74.14444413914833,73.70293799410216,74.69837372303158,78.56889623862456,81.45953483343185
2018-12-31 23:55:08,74.71113145950949,73.6550335294503,74.65638604354682,78.52556123049206,81.45113019954493
2018-12-31 23:55:09,74.66174904874259,73.62716366123581,74.60987761484911,78.48034354023213,81.4426928257818
2018-12-31 23:55:10,75.22843636910375,73.60858374909283,74.56353180322245,78.43519122095422,81.43334528453987
2018-12-31 23:55:11,75.22843636910375,73.61835443060063,74.52186935787977,78.39003890167632,81.42403048317414
2018-12-31 23:55:12,75.7951236894649,73.64670502425143,74.47947355929776,78.34306927125301,81.41279712722219
2018-12-31 23:55:13,,73.68305530081993,74.43707776071574,78.29609964082971,81.40153103139404
2018-12-31 23:55:14,75.8445061002318,73.74727544560291,74.39468196213375,78.25101269253385,81.38932202821087
2018-12-31 23:55:15,76.41119342059298,73.82078554645737,74.35696952983572,78.20780842636545,81.3771130250277
2018-12-31 23:55:16,76.41119342059298,73.90294046680643,74.31941971460874,78.1663561003604,81.36391168729291
2018-12-31 23:55:17,75.8445061002318,73.99535304809233,74.28655326566573,78.12678645648278,81.3507430894343
2018-12-31 23:55:18,75.7951236894649,74.09705558544974,74.2583701830067,78.09111291882417,81.33856682612735
2018-12-31 23:55:19,75.7951236894649,74.19843555451868,74.23519570077373,78.05543938116554,81.32544765546538
2018-12-31 23:55:20,75.22843636910375,74.29052556751616,74.21185860146971,78.02164852563435,81.3113855774484
2018-12-31 23:55:21,75.22843636910375,74.38310255994264,74.18835888509467,77.98974035223061,81.29732349943143
2018-12-31 23:55:22,75.27781877987064,74.47567955236913,74.16937991793256,77.95971486095432,81.28326142141444
2018-12-31 23:55:23,74.71113145950949,74.55015735808895,74.15040095077045,77.92968936967803,81.27014225075247
2018-12-31 23:55:24,74.09506172838142,74.61534520773726,74.13158460067937,77.89966387840173,81.2560801727355
2018-12-31 23:55:25,74.09506172838142,74.66195314524259,74.11745161687229,77.867755704998,81.24198535484231
2018-12-31 23:55:26,74.11473839397686,74.71720590224253,74.10331863306519,77.83578216061221,81.22789053694913
2018-12-31 23:55:27,74.11473839397686,74.7634912714594,74.08450228297411,77.80380861622643,81.21285281170093
2018-12-31 23:55:28,74.09506172838142,74.81009920896474,74.06568593288304,77.77190044282268,81.19781508645274
2018-12-31 23:55:29,74.09506172838142,74.84677205382167,74.05171556614698,77.73992689843689,81.18092428637071
2018-12-31 23:55:30,74.09506172838142,74.88441260354396,74.03306183312694,77.70788798306907,81.16309057893369
2018-12-31 23:55:31,73.52837440802027,74.92269828984315,74.01424548303585,77.67601312886659,81.14431396414165
2018-12-31 23:55:32,74.11473839397686,74.95040374691703,73.9955917500158,77.64420364564614,81.12365153463959
2018-12-31 23:55:33,74.11473839397686,74.97810920399093,73.97693801699575,77.61229547224241,81.1001276431963
2018-12-31 23:55:34,74.11473839397686,74.99652470499333,73.95360091769173,77.58220460998407,81.07566084439802
2018-12-31 23:55:35,73.57775681878718,74.99603772556428,73.93067193748495,77.55211374772574,81.05129226522831
2018-12-31 23:55:36,73.57775681878718,74.98626079006375,73.90758034020713,77.5239709385769,81.02692368605862
